new_spot_id,rename,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD_1,VISIT_AREA_TYPE_CD_2,VISIT_AREA_TYPE_CD_3,VISIT_AREA_TYPE_CD_4,VISIT_AREA_TYPE_CD_5,VISIT_AREA_TYPE_CD_6,VISIT_AREA_TYPE_CD_7,VISIT_AREA_TYPE_CD_8,REVISIT_INTENTION,RCMDTN_INTENTION
spot_178,우리 승마장,30.0,체험 활동 관광지,missing,missing,missing,missing,missing,missing,missing,3.5714285714285716,4.0
spot_179,테디베어뮤지엄 제주점,58.57142857142857,"문화 시설(공연장, 영화관, 전시관 등)","상업지구(거리, 시장, 쇼핑시설)",체험 활동 관광지,missing,missing,missing,missing,missing,3.619047619047619,3.8095238095238093
spot_180,본태박물관,86.53846153846153,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,missing,missing,3.8846153846153846,4.3076923076923075
spot_181,파파빌레,60.0,지역 축제/행사,missing,missing,missing,missing,missing,missing,missing,3.5,3.5
spot_182,제주맥주 양조장,91.66666666666667,체험 활동 관광지,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,missing,3.5555555555555554,3.888888888888889
spot_184,넥슨컴퓨터박물관,113.18181818181819,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,missing,missing,3.9545454545454546,4.5
spot_187,명월팽나무군락,40.0,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","산책로, 둘레길 등",missing,missing,missing,missing,missing,3.6666666666666665,3.6666666666666665
spot_188,어승생,80.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.666666666666667,4.666666666666667
spot_189,하도해변,35.0,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.0,4.416666666666667
spot_190,서프라이즈테마파크,60.0,"테마시설(놀이공원, 워터파크)",missing,missing,missing,missing,missing,missing,missing,3.4,3.8
spot_191,귤의 정원 바령,62.5,체험 활동 관광지,missing,missing,missing,missing,missing,missing,missing,4.166666666666667,4.333333333333333
spot_192,새연교,35.921052631578945,"산책로, 둘레길 등",자연관광지,체험 활동 관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","레저/스포츠 관련 시설(스키, 카트, 수상레저)",지역 축제/행사,"상업지구(거리, 시장, 쇼핑시설)",missing,3.9078947368421053,3.986842105263158
spot_194,루나피크닉,90.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.0,4.0
spot_195,밧돌오름,30.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,2.0,2.0
spot_196,새별프렌즈,63.333333333333336,체험 활동 관광지,"테마시설(놀이공원, 워터파크)",missing,missing,missing,missing,missing,missing,3.6666666666666665,3.888888888888889
spot_197,제주국제평화센터,52.5,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,missing,missing,4.25,4.25
spot_198,제주 세계자연유산센터,60.0,"문화 시설(공연장, 영화관, 전시관 등)",자연관광지,missing,missing,missing,missing,missing,missing,4.5,4.5
spot_199,서빈백사,37.89473684210526,자연관광지,"산책로, 둘레길 등",체험 활동 관광지,missing,missing,missing,missing,missing,4.447368421052632,4.5
spot_200,메밀꽃밭,30.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,3.0,3.0
spot_201,이호테우등대,38.75,"테마시설(놀이공원, 워터파크)",자연관광지,"문화 시설(공연장, 영화관, 전시관 등)","산책로, 둘레길 등","역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,4.104166666666667,4.208333333333333
spot_202,다이나믹메이즈 제주도성읍점,70.0,체험 활동 관광지,"테마시설(놀이공원, 워터파크)","레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,missing,missing,4.0,4.066666666666666
spot_203,이레저버기카,60.0,체험 활동 관광지,missing,missing,missing,missing,missing,missing,missing,3.0,4.0
spot_204,방림원,60.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.25,4.0
spot_205,일출랜드,90.0,자연관광지,"테마시설(놀이공원, 워터파크)",체험 활동 관광지,missing,missing,missing,missing,missing,3.25,4.0
spot_206,쇠소깍전통나룻배,63.529411764705884,체험 활동 관광지,missing,missing,missing,missing,missing,missing,missing,3.7058823529411766,3.9411764705882355
spot_207,엉덩물계곡,45.0,자연관광지,지역 축제/행사,missing,missing,missing,missing,missing,missing,4.0,4.0
spot_208,성지도예,120.0,체험 활동 관광지,missing,missing,missing,missing,missing,missing,missing,4.0,5.0
spot_209,구들민박밀감체험농원,60.0,체험 활동 관광지,missing,missing,missing,missing,missing,missing,missing,4.0,4.0
spot_210,서귀포칠십리시공원,48.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,3.9,4.0
spot_211,이중섭미술관,40.714285714285715,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,missing,missing,4.095238095238095,4.214285714285714
spot_212,만장굴,73.09859154929578,체험 활동 관광지,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",지역 축제/행사,missing,missing,missing,missing,3.591549295774648,4.014084507042254
spot_213,감귤박물관,57.6,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",체험 활동 관광지,missing,missing,missing,missing,missing,missing,3.68,3.88
spot_214,제주하늘을날다,60.0,자연관광지,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,missing,missing,missing,4.0,4.333333333333333
spot_215,이쁜선물가게,20.0,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,3.0,3.0
spot_216,서귀포유람선,105.51724137931035,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,missing,missing,missing,missing,4.551724137931035,4.655172413793103
