spot_id,관광지,평균 상주시간(분),재방문비율,재방문의향점수,평균 동반자수,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","문화 시설(공연장, 영화관, 전시관 등)","상업지구(거리, 시장, 쇼핑시설)","레저/스포츠 관련 시설(스키, 카트, 수상레저)","테마시설(놀이공원, 워터파크)","산책로, 둘레길 등",지역 축제/행사,체험 활동 관광지
spot_159,남원큰엉해변,46.66666667,0.027777778,4.194444444,1.724137931,1,0,0,0,1,0,1,0,0
spot_160,자구리문화예술공원,61.66666667,0.277777778,3.944444444,0.384615385,1,0,0,0,0,0,0,0,0
spot_161,한라산1100고지,47.72727273,0.454545455,4.454545455,1.555555556,1,0,0,0,0,0,0,0,0
spot_162,산방산,47.70491803,0.426229508,4.081967213,1.211538462,1,1,0,0,1,0,1,0,1
spot_163,바이나흐튼 크리스마스박물관,41.53846154,0,3.384615385,1.166666667,0,1,0,0,0,0,0,0,0
spot_165,더럭초등학교,60,0,5,0,0,0,0,0,0,0,1,0,0
spot_166,제주동문시장,52.92613636,0.579545455,4.065340909,1.384615385,0,0,0,1,0,0,0,0,0
spot_168,비밀의숲,64.70588235,0.098039216,3.87254902,1.352941176,1,0,0,0,0,0,1,0,1
spot_174,점보빌리지,106.875,0.25,3.4375,2.75,0,0,1,0,0,1,0,0,1
spot_175,제주신라호텔 수영장,144,0.8,5,2.5,0,0,0,0,0,1,0,0,0
spot_176,이니스프리 제주하우스,50,0.25,4.333333333,1.6,0,0,0,1,0,0,0,0,1
spot_180,스캠프짐,150,1,5,0,0,0,0,0,1,0,0,0,0
spot_183,제주별책부록,30,0,5,0,0,0,0,1,0,0,0,0,0
spot_184,제주차귀도요트투어,105,0,4.5,1.333333333,0,0,0,0,1,0,0,0,1
spot_185,쇠소깍수상레저 전통테우,72,0,4.4,1.8,0,0,0,0,1,0,0,0,1
spot_186,월정투명카약,69,0.1,4.2,1.375,1,0,0,0,1,0,0,0,1
spot_187,서귀포항여객선터미널,225,0.5,4.5,3,0,0,0,0,1,0,0,0,1
spot_188,더마파크,93.10344828,0.172413793,4.103448276,4.230769231,0,0,1,0,1,1,0,0,1
spot_192,대평,30,1,4,0,0,0,0,0,0,0,0,0,1
spot_194,동백동산습지센터,45,0,4.5,2.5,1,0,1,0,0,0,0,0,0
spot_195,차귀도,67.5,0.25,3.5,4,1,0,0,0,0,0,0,0,1
spot_196,탑텐 서귀포점,45,0.5,4,3,0,0,0,1,0,0,0,0,0
spot_197,서우봉,51.75,0.2,4.275,0.964285714,1,1,0,0,1,0,1,0,0
spot_198,제주시청,60,0.75,3.5,0.5,0,0,0,1,0,0,0,0,0
spot_200,도두봉,44.26829268,0.109756098,4.243902439,1.101449275,1,0,0,0,0,0,1,0,0
spot_201,"디아넥스 온천, 수영장",90,0.5,5,0,0,0,0,0,0,1,0,0,0
spot_202,문도지오름,52.22222222,0.037037037,4.148148148,1.263157895,1,0,0,0,0,0,1,0,0
spot_203,상효원수목원,91.62162162,0.054054054,3.891891892,2.032258065,1,0,0,0,0,0,0,0,0
spot_205,제주성읍마을,58.06451613,0.290322581,3.935483871,2.076923077,0,0,0,0,0,0,1,0,0
spot_206,산방산탄산온천,129.2079208,0.366336634,4.297029703,1.120481928,0,0,0,0,0,1,0,0,0
spot_209,이호테우해수욕장,54.26666667,0.311111111,4.164444444,1.3,1,0,0,0,0,0,0,0,0
spot_211,금능해수욕장,68.40909091,0.409090909,4.537878788,1.59223301,1,0,0,0,0,0,0,0,0
spot_213,세화해변,65.04950495,0.356435644,4.346534653,1.523255814,1,0,0,1,0,0,1,0,1
spot_215,트레이닝 팜트리,60,0,5,0,0,0,0,0,1,0,0,0,0
spot_216,조랑말체험공원,42,0.2,3.2,2.6,0,0,0,0,0,0,0,0,1
spot_218,보롬왓,69.23076923,0.115384615,4.346153846,2.047619048,1,0,0,0,0,1,1,0,1
spot_219,윈드1947카트테마파크,69.44444444,0.037037037,4.037037037,1.659090909,0,0,0,0,1,0,0,0,0
spot_223,렛츠런파크제주,139.0909091,0.363636364,3.454545455,2.4,0,0,0,0,1,1,0,1,0
spot_224,황우지선녀탕,58.08510638,0.191489362,3.978723404,1.571428571,1,0,0,0,1,0,0,0,1
spot_225,우도지석묘,30,0,3.333333333,3,1,1,0,0,0,0,1,0,0
spot_226,도깨동산,45,0,3.5,1,1,0,0,0,0,0,0,0,0
spot_229,올레길 16코스(고내-광령 올레),73.63636364,0.363636364,4.272727273,1.555555556,0,0,0,0,0,0,1,0,0
spot_230,천주교황사평성지,30,0.5,3,3,0,1,0,0,0,0,0,0,0
spot_232,휴애리자연생활공원,93.19148936,0.212765957,3.893617021,1.820512821,1,0,0,0,0,1,0,1,1
spot_233,성이시돌목장,41.02941176,0.205882353,3.632352941,1.314814815,1,1,0,1,1,1,0,0,1
spot_239,프렌즈스크린골프 인화,150,0,4,0,0,0,0,0,1,0,0,0,0
spot_240,루나폴,99.6,0,4,2.227272727,0,0,0,0,0,1,0,0,0
spot_241,개월이오름,30,1,5,1,1,0,0,0,0,0,0,0,0
spot_242,노리매,66,0.1,4.3,1.75,1,0,0,0,0,1,1,0,1
spot_243,스카이워터쇼,82.5,0,3.833333333,3,0,0,1,0,0,0,0,0,1
spot_245,한림공원,87.90697674,0.139534884,4.069767442,1.794117647,1,0,0,0,0,0,0,0,1
spot_247,아부오름,55.3125,0.09375,3.875,1,1,0,0,0,0,0,1,0,1
spot_248,수월봉전기자전거,90,0.090909091,4.727272727,2.1,0,0,0,0,1,0,1,0,1
spot_250,송악산둘레길,73.28571429,0.242857143,4.428571429,1.655737705,1,0,0,0,0,0,1,0,0
spot_251,한라산국립공원,492.6315789,0.421052632,4.394736842,1.212121212,1,1,0,0,1,0,1,0,0
spot_255,바이제주,51.66666667,0.222222222,4.277777778,1.625,0,0,0,1,0,0,0,0,0
spot_256,토토아뜰리에,135,0,4.333333333,1,0,0,0,0,0,0,0,0,1
spot_259,더힐링타임,45,0.2,3.8,1.375,0,0,0,1,0,0,0,0,1
spot_261,외돌개 전망대,46,0.333333333,4.6,1.769230769,1,0,0,0,0,0,1,0,0
spot_262,한라산영실휴게소,100,0.333333333,4,0.333333333,1,0,0,0,0,0,0,0,0
spot_264,군산오름 전망대,55.71428571,0.142857143,3.714285714,1,1,0,0,0,0,0,1,0,0
spot_265,약천사,46.70886076,0.139240506,4.012658228,1.508474576,0,1,0,0,0,0,0,0,0
spot_266,양떼목장,22.5,0.25,2.5,2.25,0,0,0,0,0,1,0,0,1
spot_267,롯데마트 제주점,47.5,0.5,4,1.5,0,0,0,1,0,0,0,0,0
spot_268,신라면세점 제주공항점,30,0,4,2,0,0,0,1,0,0,0,0,0
spot_270,걸매생태공원,82.5,0.5,5,0.333333333,1,0,0,0,0,0,0,0,0
spot_271,엉또폭포,39,0.2,4.4,1.4,1,0,0,0,0,0,1,0,0
spot_272,제주관광공사 지정면세점,45.75,0.4,4,1.71875,0,0,0,1,0,0,0,0,0
spot_273,제주동문수산시장,54,0.3,3.6,0.833333333,0,0,0,1,0,0,0,0,0
spot_274,제주보리빵마을,15,0,4.5,1,0,0,0,0,0,0,1,0,0
