TRAVEL_ID,spot_id,DGSTFN
d_d001396,spot_9,5.0
d_d007486,spot_462,5.0
d_d012383,spot_40,4.0
d_d000105,spot_463,4.0
d_d003043,spot_16,5.0
d_d001644,spot_110,2.0
d_d005548,spot_75,3.0
d_d010419,spot_209,4.0
d_d004488,spot_464,5.0
d_d000685,spot_465,4.0
d_d009107,spot_233,4.0
d_d000145,spot_360,5.0
d_d003645,spot_213,5.0
d_d001275,spot_81,4.0
d_d008050,spot_40,5.0
d_d001841,spot_119,5.0
d_d010531,spot_93,5.0
d_d009146,spot_469,4.0
d_d002317,spot_149,3.0
d_d002423,spot_158,4.0
d_d004738,spot_397,4.0
d_d001647,spot_209,5.0
d_d001378,spot_21,4.0
d_d002166,spot_119,3.0
d_d002732,spot_472,5.0
d_d010736,spot_115,5.0
d_d004455,spot_473,5.0
d_d000499,spot_206,5.0
d_d001683,spot_474,3.0
d_d002342,spot_209,4.0
d_d000018,spot_475,4.0
d_d009381,spot_39,5.0
d_d008975,spot_22,3.0
d_d000818,spot_39,4.0
d_d003044,spot_82,5.0
d_d001984,spot_477,3.0
d_d000818,spot_478,4.0
d_d009612,spot_479,4.0
d_d001325,spot_296,2.0
d_d007179,spot_40,5.0
d_d010207,spot_255,5.0
d_d000402,spot_265,5.0
d_d003131,spot_16,5.0
d_d010758,spot_233,4.0
d_d002588,spot_19,5.0
d_d002816,spot_480,5.0
d_d005548,spot_482,4.0
d_d000328,spot_54,5.0
d_d002541,spot_166,4.0
d_d012347,spot_484,5.0
d_d009956,spot_128,5.0
d_d007182,spot_97,5.0
d_d003448,spot_485,4.0
d_d003364,spot_463,3.0
d_d001166,spot_486,3.0
d_d000424,spot_487,5.0
d_d002554,spot_488,4.0
d_d001949,spot_360,5.0
d_d007518,spot_430,4.0
d_d004770,spot_144,4.0
d_d002267,spot_19,4.0
d_d001493,spot_40,5.0
d_d000185,spot_303,4.0
d_d001275,spot_40,4.0
d_d002221,spot_360,4.0
d_d001427,spot_489,4.0
d_d003531,spot_82,4.0
d_d009007,spot_90,5.0
d_d010204,spot_379,3.0
d_d001697,spot_493,1.0
d_d009242,spot_494,3.0
d_d002195,spot_495,3.0
d_d001406,spot_496,3.0
d_d001440,spot_296,4.0
d_d000105,spot_497,4.0
d_d011757,spot_480,5.0
d_d003542,spot_498,3.0
d_d006759,spot_499,4.0
d_d007844,spot_54,3.0
d_d011481,spot_3,4.0
d_d000274,spot_500,5.0
d_d002485,spot_501,5.0
d_d001453,spot_503,4.0
d_d001894,spot_69,5.0
d_d011359,spot_119,5.0
d_d005930,spot_156,5.0
d_d009380,spot_505,5.0
d_d003239,spot_506,5.0
d_d002768,spot_480,5.0
d_d000366,spot_265,3.0
d_d002198,spot_251,4.0
d_d002933,spot_255,5.0
d_d009998,spot_155,2.0
d_d000538,spot_108,5.0
d_d007396,spot_119,5.0
d_d002192,spot_19,5.0
d_d000479,spot_57,4.0
d_d004957,spot_16,5.0
d_d001060,spot_82,3.0
d_d004697,spot_8,5.0
d_d005998,spot_24,4.0
d_d008960,spot_509,5.0
d_d004404,spot_418,4.0
d_d004071,spot_233,5.0
d_d002613,spot_10,5.0
d_d003543,spot_209,5.0
d_d001376,spot_94,5.0
d_d000178,spot_296,5.0
d_d000213,spot_10,4.0
d_d002283,spot_462,4.0
d_d005761,spot_176,5.0
d_d001541,spot_75,4.0
d_d009193,spot_129,4.0
d_d006783,spot_42,4.0
d_d003024,spot_147,4.0
d_d010660,spot_511,5.0
d_d009829,spot_200,5.0
d_d003194,spot_233,4.0
d_d006946,spot_512,5.0
d_d002541,spot_82,5.0
d_d000770,spot_211,5.0
d_d005563,spot_218,4.0
d_d000079,spot_148,3.0
d_d004454,spot_166,4.0
d_d001804,spot_514,3.0
d_d001403,spot_119,4.0
d_d007629,spot_115,4.0
d_d005480,spot_497,5.0
d_d007452,spot_366,4.0
d_d002709,spot_515,4.0
d_d000248,spot_216,4.0
d_d000213,spot_30,2.0
d_d003709,spot_75,5.0
d_d009886,spot_57,5.0
d_d003461,spot_86,5.0
d_d002341,spot_21,3.0
d_d007907,spot_251,5.0
d_d005329,spot_430,5.0
d_d009263,spot_82,5.0
d_d002439,spot_517,5.0
d_d004550,spot_242,4.0
d_d005128,spot_34,5.0
d_d000870,spot_518,5.0
d_d000437,spot_494,4.0
d_d005539,spot_155,4.0
d_d009464,spot_520,4.0
d_d004296,spot_521,5.0
d_d002972,spot_39,5.0
